epoch,acc,loss,val_acc,val_loss
0,0.47406,1.472633087425232,0.5782,1.2163592847824096
1,0.61022,1.1203064576911925,0.6234,1.0526244563102722
2,0.65984,0.978722424697876,0.6577,0.9836020441055298
3,0.69256,0.8854521642303467,0.6869,0.9099480756759644
4,0.7202,0.8080136549377441,0.6827,0.9313537502288818
5,0.74168,0.7456893868255615,0.6992,0.8800075963973999
6,0.76106,0.6905699392318726,0.7167,0.8330511831283569
7,0.78138,0.6310238506317138,0.6991,0.8794745608329773
8,0.8003,0.5787328102684021,0.7037,0.8844679111480713
9,0.81638,0.5303324713516235,0.7159,0.8635130716323852
10,0.8377,0.47431291460037234,0.7177,0.8695584594726562
11,0.84838,0.43814711778640747,0.7144,0.9166469743728638
12,0.863,0.39726434511184694,0.7254,0.8983799337387085
13,0.88098,0.3474799655342102,0.7176,0.9447856252670288
14,0.89536,0.30726141129016876,0.7202,1.0015153354644775
15,0.9108,0.26881166086673736,0.7069,1.0623755514144897
16,0.92368,0.23222387475013734,0.7164,1.0800474250793457
17,0.9372,0.19501162363052368,0.722,1.1479913820266723
18,0.94826,0.16470470679283142,0.7184,1.188495927619934
19,0.9567,0.13919220701217652,0.7137,1.2587846351623535
20,0.96586,0.11214001124620437,0.7085,1.3313490085601807
21,0.97202,0.09710537236094474,0.7136,1.3809718994140625
22,0.97828,0.0777973069024086,0.7116,1.4527268619537355
23,0.9819,0.06506897731542587,0.7087,1.530339094734192
24,0.98744,0.050900746075510976,0.7124,1.582044062614441
25,0.9912,0.040029610577225684,0.714,1.6487399116516113
26,0.99272,0.03297246443867683,0.7125,1.7108621608734131
27,0.99484,0.02603469991147518,0.714,1.7793893566131591
28,0.99546,0.022921805026531218,0.7092,1.8165502960205078
29,0.99696,0.018200504979789256,0.7101,1.8990859203338624
30,0.9967,0.01732288982838392,0.7138,1.9195572023391723
31,0.99854,0.01075671783335507,0.7134,1.937236968612671
32,0.99742,0.014152634410411119,0.7188,1.9524119495391845
33,0.99798,0.01055813134327531,0.7103,2.025585652542114
34,0.99958,0.005254874772876501,0.7134,2.046323554611206
35,0.99864,0.007443471554964781,0.7116,2.0789698959350584
36,0.99984,0.002957244087383151,0.7135,2.1148194034576417
37,0.99816,0.007362379281613976,0.7143,2.1268974920272825
38,0.99992,0.002120874271765351,0.7118,2.1849566287994384
39,0.9992,0.005022400538101792,0.7134,2.1534602394104003
40,0.99936,0.003725737641341984,0.7108,2.233625980377197
41,0.99928,0.004472061135731637,0.7143,2.219802983856201
42,0.99988,0.002530413991175592,0.7129,2.2397468494415285
43,0.99878,0.006024845601841807,0.7148,2.2194426338195803
44,0.99964,0.002284679478742182,0.7121,2.2669162712097166
45,0.99946,0.003984446677798405,0.7163,2.2513598129272463
46,1.0,0.0006987798186484724,0.7149,2.286091284942627
47,0.99898,0.004887577795386315,0.7159,2.2834568923950194
48,1.0,0.0005637194947898388,0.7147,2.303662582397461
49,0.9991,0.0037794519790820776,0.7093,2.3320271743774414
