epoch,acc,loss,val_acc,val_loss
0,0.4568,1.6927474491119385,0.5512,1.434541395187378
1,0.57246,1.3543489780426026,0.5924,1.2735949863433838
2,0.61762,1.2251983197784424,0.6108,1.2464943250656129
3,0.64414,1.1429844521713257,0.6372,1.1543930074691773
4,0.66796,1.0796625112724305,0.6488,1.1263443332672118
5,0.68446,1.0317708014678955,0.6797,1.0462342346191407
6,0.69768,0.9929556544876099,0.6838,1.039248900604248
7,0.71028,0.9564443977165222,0.6671,1.0658417253494263
8,0.72226,0.9224163371658325,0.691,1.0185197650909423
9,0.7305,0.8955621767425537,0.6925,1.0040726572036742
10,0.74406,0.8668619632720947,0.711,0.978826814365387
11,0.7499,0.8441848388671875,0.7048,0.9831568836212158
12,0.76156,0.8154478063201904,0.6994,0.9978725173950195
13,0.77112,0.7907754672813415,0.6988,1.0025486297607422
14,0.7799,0.7656571654891968,0.7088,0.9968283483505249
15,0.7901,0.742812847366333,0.7112,0.9833395387649536
16,0.796,0.720368038520813,0.7236,0.9641938539505005
17,0.80358,0.701304283504486,0.7131,0.9783224714279175
18,0.81168,0.6810931551361084,0.7216,0.9687149648666382
19,0.81898,0.6634981803894043,0.7104,0.9956418356895447
20,0.83126,0.6391111876296998,0.7224,0.9765606269836425
21,0.83426,0.6236377159690857,0.7087,1.0284860641479492
22,0.8409,0.6045946883583069,0.7095,1.05678539352417
23,0.8492,0.5864519680690765,0.719,1.0029366888046265
24,0.85444,0.5695401210021973,0.7025,1.0666941873550415
25,0.86028,0.5549261476612091,0.7106,1.0647996202468872
26,0.86944,0.5358011101150513,0.7109,1.0589818946838379
27,0.87576,0.5208817582321167,0.7168,1.0696620353698731
28,0.88292,0.5032000558662415,0.7092,1.1098343486785889
29,0.88852,0.48715198926925657,0.7111,1.1100657070159912
30,0.89548,0.46818446465492247,0.7188,1.099376287841797
31,0.90152,0.45618594032287596,0.7147,1.1207264348983765
32,0.90596,0.44130514251708985,0.7099,1.1586050252914428
33,0.90974,0.43289484078407287,0.7095,1.167449355316162
34,0.91472,0.4180909623336792,0.714,1.1699509284973144
35,0.917,0.4084295306491852,0.7049,1.2001624534606934
36,0.92496,0.3909803905200958,0.7077,1.2141555446624757
37,0.92974,0.37903275968551636,0.7127,1.2196658569335936
38,0.93372,0.3672757150173187,0.7081,1.246402328491211
39,0.93834,0.3584604249000549,0.7068,1.2664298358917236
40,0.93926,0.35027293718338015,0.7008,1.2931245418548585
41,0.94652,0.3359537303161621,0.7013,1.3120449337005615
42,0.94948,0.3266529192733765,0.7096,1.2950045248031616
43,0.95202,0.3190040863704681,0.7054,1.3265317964553833
44,0.9543,0.31240322889328004,0.7097,1.311062017250061
45,0.95756,0.3036565033721924,0.7043,1.377274465560913
46,0.96008,0.29560384983062743,0.697,1.3912737308502197
47,0.964,0.2850130725479126,0.7019,1.3665640230178833
48,0.96648,0.2772093698978424,0.6955,1.4277312023162843
49,0.96748,0.2722591287994385,0.7005,1.4191267623901367
