epoch,acc,loss,val_acc,val_loss
0,0.38174,2.091016055526733,0.464,1.6749684362411499
1,0.4862,1.597573628387451,0.4972,1.5212841953277587
2,0.5176,1.4883522053909302,0.5225,1.4512799423217773
3,0.54032,1.426873611831665,0.5519,1.381895369529724
4,0.55674,1.3775905547332763,0.5681,1.3553395015716552
5,0.57324,1.336929719543457,0.5691,1.3391478910446166
6,0.586,1.3020423364639282,0.5756,1.2997768099784852
7,0.59994,1.2697239208221436,0.5762,1.318627180480957
8,0.60678,1.2500146643447876,0.603,1.2672443890571594
9,0.6143,1.2301300498962402,0.6041,1.2557024267196655
10,0.62464,1.2074137313842774,0.6097,1.2388440362930297
11,0.6303,1.1898874475097656,0.6114,1.2469959486007691
12,0.63774,1.1702849883270263,0.6059,1.2432406310081483
13,0.64162,1.1574128636169434,0.6268,1.1865063423156739
14,0.64706,1.1407871180725098,0.6309,1.1871311325073242
15,0.65292,1.127838384590149,0.6341,1.1754328004837036
16,0.65806,1.1150671308517457,0.6258,1.183562357902527
17,0.66394,1.0990657873535157,0.6457,1.151375190925598
18,0.6672,1.0903509413528443,0.6382,1.165304195022583
19,0.67114,1.0770709753990173,0.6411,1.14789169921875
20,0.67718,1.0663923211860658,0.6431,1.1417734367370604
21,0.68218,1.0503301777648926,0.6515,1.132182808303833
22,0.68376,1.0403290944290162,0.6462,1.1496971399307252
23,0.68556,1.0357680890655518,0.6569,1.1293761640548705
24,0.69116,1.0234795595550537,0.6459,1.1672568420410157
25,0.69578,1.012700948600769,0.6545,1.1361996234893799
26,0.69812,1.007227514038086,0.6483,1.1353042766571044
27,0.70126,0.9938150158691407,0.6544,1.1396909351348876
28,0.70332,0.988531556930542,0.6467,1.1547886901855469
29,0.70508,0.9839233745193482,0.6587,1.1194662740707397
30,0.7115,0.9704397789001464,0.6541,1.1375717845916749
31,0.71304,0.9620848480606079,0.6651,1.1066134885787964
32,0.71554,0.9565007401657104,0.6762,1.0875694469451904
33,0.71674,0.9514007197380066,0.6574,1.1229257460594178
34,0.72064,0.9404690701293945,0.6608,1.1102482166290284
35,0.72268,0.9364952265167237,0.6701,1.09629048538208
36,0.7275,0.9286332876968384,0.6718,1.1056236183166503
37,0.73112,0.9173565516471863,0.6703,1.0950001573562622
38,0.73252,0.9127532402610778,0.6626,1.1263139163970948
39,0.73644,0.9035976831817627,0.6662,1.1211465179443358
40,0.73736,0.9012305449295044,0.6662,1.103048147201538
41,0.74128,0.8897121783065796,0.6574,1.1541769495010377
42,0.7415,0.8868093642425537,0.6733,1.098006094932556
43,0.7449,0.8782533808898926,0.6723,1.0952250507354737
44,0.74876,0.872665860157013,0.6745,1.0911588872909546
45,0.74894,0.8676229648208618,0.6626,1.1115763338088989
46,0.75138,0.862064309310913,0.6654,1.1080036180496216
47,0.75334,0.8583468813323974,0.6725,1.105258755493164
48,0.7571,0.84789186668396,0.6707,1.1056877954483033
49,0.76008,0.8414538443565369,0.6616,1.1439117544174193
