epoch,acc,loss,val_acc,val_loss
0,0.54858,1.2790931967544557,0.5622,1.2786101722717285
1,0.6763,0.9144553507041931,0.635,1.0834613426208497
2,0.7412,0.7374730268287659,0.6246,1.1682235734939574
3,0.79242,0.5878296713256836,0.6644,1.0250841184616089
4,0.84364,0.44484503395080566,0.6729,1.0607943592071534
5,0.88976,0.3195283925628662,0.7092,0.9756937805175782
6,0.9306,0.20993195160865782,0.6966,1.1510436637878418
7,0.96058,0.12925828503131867,0.7047,1.1956155869483949
8,0.97852,0.07834741394400596,0.6775,1.470373845100403
9,0.98694,0.05210105390429497,0.7101,1.3809163013458252
10,0.99012,0.03839434058368206,0.6937,1.5805134956359863
11,0.99506,0.02360500450015068,0.7141,1.48740189743042
12,0.99728,0.015462600446864963,0.6856,1.7803300190925597
13,0.99524,0.019126927692890167,0.7039,1.6540668483734131
14,0.99746,0.012245343332141638,0.7048,1.6706221111297608
15,0.99866,0.008978785240128637,0.6855,2.0100329685211182
16,0.99774,0.010399298349171877,0.7047,1.8429169107437133
17,0.99804,0.009041309847384691,0.7159,1.779533599090576
18,0.99866,0.007171996790803969,0.7133,1.7965229824066162
19,0.99862,0.006208582612201571,0.6966,2.004076649093628
20,0.99842,0.006430301232822239,0.6965,1.9578679203033447
21,0.9987,0.006232752740345895,0.7084,1.8597900295257568
22,0.99936,0.004022444287668914,0.7119,1.9212893520355225
23,0.9984,0.006439312119595707,0.7039,2.0182336421966554
24,0.99856,0.00607756912689656,0.7142,1.939249958229065
25,0.99836,0.006040441022291779,0.7147,1.95726949634552
26,0.99928,0.003711427246555686,0.717,1.985525560760498
27,0.99864,0.004978855324145407,0.7174,2.037760432434082
28,0.99868,0.005198657781528309,0.7087,2.0747545722961425
29,0.99978,0.0018501310572773219,0.723,1.9777042999267578
30,0.99918,0.0034607464328035714,0.7115,2.119806757736206
31,0.99932,0.0029951152577251195,0.6966,2.2181149185180664
32,0.99882,0.0047819930187053975,0.7071,2.144452649307251
33,0.9989,0.004241870245877653,0.6915,2.2416776950836184
34,0.99882,0.004470808318629861,0.6766,2.512311707305908
35,0.99906,0.0036474584005493672,0.7001,2.2524953437805175
36,0.9988,0.0042618035746365785,0.6993,2.235895154571533
37,0.99886,0.003906547848982736,0.7045,2.1983122318267823
38,0.99898,0.004191843848088756,0.7137,2.16460774269104
39,0.9995,0.00219957954519894,0.6964,2.332417360305786
40,0.99932,0.003246413389025256,0.708,2.2820374954223634
41,0.9996,0.0020659470256930218,0.7099,2.2424073900222776
42,0.99904,0.003614512689774856,0.7063,2.2201303882598875
43,0.99972,0.0014463600201392547,0.7081,2.2748915882110596
44,0.99904,0.0030281427835999056,0.6798,2.5708501373291015
45,0.9993,0.0032524081242433747,0.7016,2.254319572067261
46,0.9996,0.0018153579390142113,0.7015,2.3341718399047853
47,0.99904,0.0034244282342679798,0.6907,2.427899858093262
48,0.99918,0.002719299969720887,0.701,2.3218177040100096
49,0.99844,0.00489552940730704,0.7061,2.299291919708252
