epoch,acc,loss,val_acc,val_loss
0,0.48290906179955173,1.4507956646819393,0.5829,1.1819659605026245
1,0.615573967339097,1.0919769242372492,0.641,1.0329057838439941
2,0.6684878322126161,0.9444967126029445,0.6774,0.9370049858093261
3,0.702609670188921,0.8488594130411615,0.6892,0.9068538788795472
4,0.7279859109830291,0.7785690888127874,0.6895,0.8931981221199036
5,0.7516010246557797,0.7116017073268811,0.6915,0.889940954208374
6,0.771213576689081,0.6507503599205194,0.7082,0.8630445258140564
7,0.7953290105667628,0.5938636733387817,0.7089,0.8818895035743713
8,0.8127001280819725,0.5366493295180351,0.7103,0.8959490902900695
9,0.8312119756644253,0.48790634232875896,0.7123,0.9062605150222778
10,0.8492635286583413,0.43619644123699436,0.7081,0.9472832770347596
11,0.8647934678194045,0.3886774237429603,0.7191,0.9559846507072449
12,0.8803033941722702,0.3465710530964717,0.7035,1.0606931855201722
13,0.900356227985911,0.29610766454925147,0.7057,1.0885971773147582
14,0.91344460454691,0.25558792446864326,0.7179,1.1030365849494934
15,0.927753762407941,0.21517647306840082,0.7059,1.1927649075508118
16,0.9421829971181557,0.17738687173557938,0.7101,1.2545388686180114
17,0.9523895292987512,0.1475540619860026,0.7122,1.3072484920978547
18,0.9619756644252322,0.12085285247370643,0.7083,1.4285923589706422
19,0.9716218379763049,0.09493348828278031,0.7085,1.484664924812317
20,0.9773655139289145,0.07667449893569439,0.7017,1.575666754055023
21,0.9826488952929875,0.06228309363995154,0.7108,1.6338495220184326
22,0.9869716618635928,0.04865357285667255,0.7035,1.7361977152824402
23,0.9903538264489273,0.03829145134191661,0.7075,1.8084070363998412
24,0.992355107268652,0.031665420359948286,0.7107,1.8305368131637574
25,0.9943982074263764,0.025515095702230588,0.7137,1.9043561211585998
26,0.9949951953875721,0.0213972595802593,0.7148,1.9463299270629884
27,0.9968780019212296,0.016379450345868164,0.7128,2.0359658343315123
28,0.9966178354146654,0.015439662174839858,0.71,2.026751190185547
29,0.997078130003202,0.013848942248343054,0.7139,2.086604833126068
30,0.9981588216458533,0.009854562522638756,0.7103,2.1427906471252443
31,0.9985190521934038,0.008787398213600828,0.7134,2.170371577548981
32,0.9983789625360231,0.008135944376357798,0.7132,2.2219747507095335
33,0.9991794748639129,0.005863164726477307,0.7167,2.225372538757324
34,0.9987992315081652,0.006311708874713446,0.7168,2.229956244659424
35,0.9984790265770093,0.006918950796758899,0.7096,2.3123604578018186
36,0.9989993595901376,0.005248276753073902,0.7097,2.327050693798065
37,0.9995397054114633,0.0036490173842874244,0.7121,2.3539639877319334
38,0.9989593339737431,0.004512158656160358,0.7114,2.3417452486991883
39,0.998699167467179,0.0056340727993954625,0.7119,2.352631144618988
40,0.9994596541786743,0.0031176874109055275,0.7134,2.3811447237968446
41,0.9992395132885047,0.0032812177393641883,0.7093,2.3491301358222962
42,0.9990593980147294,0.004649023374266578,0.7122,2.3842093048095703
43,0.9990994236311239,0.0038327821379244443,0.7121,2.4201572739601134
44,0.9998198847262247,0.0020346744300440023,0.7154,2.4270461915969848
45,0.9989193083573487,0.004596867862435813,0.7104,2.4586600410461426
46,0.9991594620557157,0.00311323030860178,0.717,2.468666785240173
47,0.9990794108229267,0.004258636961668865,0.7138,2.459183435058594
48,0.9993798015364916,0.0029707978565149855,0.7084,2.495672333526611
49,0.9997397501601537,0.0017068166952535803,0.7107,2.491533614349365
50,0.9995597182196606,0.0023538784108561857,0.7112,2.516691660118103
51,0.9992795389048992,0.0023788615924630915,0.7063,2.5174047693252564
