epoch,acc,loss,val_acc,val_loss
0,0.45724,1.5134775019073485,0.5636,1.2360956298828125
1,0.58712,1.171637240600586,0.6308,1.0669432458877564
2,0.63986,1.0271463259887694,0.664,0.9847198146820069
3,0.67372,0.9268379711151123,0.6855,0.9168599948883057
4,0.69646,0.8625259285736084,0.6846,0.9049495366096496
5,0.71664,0.8073240389251709,0.6962,0.8768133260726929
6,0.7348,0.7554850946617127,0.7,0.870236748123169
7,0.75324,0.7024767312240601,0.7272,0.8009760534286499
8,0.76792,0.6630823387145997,0.7278,0.8056196813583374
9,0.78368,0.6134404244995117,0.7257,0.7954822381973267
10,0.79614,0.5765745273590088,0.7335,0.7851595615386963
11,0.81076,0.5407109834814071,0.7375,0.7779890625
12,0.81886,0.5115762383270264,0.7326,0.7942603680610657
13,0.83256,0.4769253723716736,0.7268,0.7976404689788819
14,0.84518,0.44060098279953,0.7352,0.7988846208572388
15,0.85266,0.41535410680770873,0.7417,0.7835110016822815
16,0.86406,0.3893922372341156,0.7408,0.8080230126380921
17,0.87178,0.36304530178070066,0.738,0.8292915754318237
18,0.87898,0.3383048514652252,0.7401,0.838639647102356
19,0.89012,0.31725867404937746,0.7425,0.85375943069458
20,0.89352,0.2991424214363098,0.7404,0.8583733841896057
21,0.9022,0.2808426923060417,0.7402,0.8813585897445678
22,0.90932,0.2587344662666321,0.7417,0.895206563949585
23,0.9118,0.24565563771247864,0.731,0.919907468032837
24,0.91602,0.23591746567249297,0.7362,0.9137732610702515
25,0.92398,0.21856130924224854,0.7443,0.9396771419525146
26,0.92616,0.20757611295223236,0.7429,0.9544116607666016
27,0.93006,0.1965639017367363,0.7459,0.9720227680206299
28,0.93802,0.18106977239608765,0.7431,0.9746876653671265
29,0.93962,0.17393570541381836,0.7362,1.033785820388794
30,0.9409,0.16901169392347337,0.7409,1.0434571697235107
31,0.9446,0.15885282934188844,0.744,1.0242539218902589
32,0.94724,0.15174248747825622,0.7432,1.0402661647796632
33,0.94844,0.14562028066635133,0.7373,1.0547491924285888
34,0.95008,0.14426519073963165,0.7444,1.064059451675415
35,0.95006,0.14236150146603585,0.7417,1.0714180309295653
36,0.95498,0.13087578289985657,0.7419,1.0876752307891846
37,0.95532,0.1256906135082245,0.7389,1.0978085766792298
38,0.95736,0.12335755309820175,0.7381,1.1280720483779907
39,0.9586,0.12146345915079117,0.7373,1.1216166254043578
40,0.95844,0.11958585711836815,0.739,1.131161450958252
41,0.96196,0.11206576533317567,0.7394,1.126245182800293
42,0.96352,0.10792097814798356,0.7373,1.1410764562606812
43,0.96292,0.10889841742634773,0.7408,1.1906152425765992
44,0.96346,0.10485789958715439,0.7461,1.1669948448181153
45,0.96496,0.10131181612372399,0.738,1.1876466661453247
46,0.96646,0.0972673476243019,0.7396,1.1992824550628662
47,0.96816,0.09396001377344132,0.7431,1.1850199577331544
48,0.96504,0.1001421144580841,0.7455,1.1953775228500365
49,0.96976,0.08890173828542232,0.7431,1.2395623529434203
50,0.96804,0.09293479795455932,0.7433,1.2003237152099608
51,0.96822,0.09099621146678924,0.7384,1.20310611076355
52,0.97114,0.08400220341444016,0.7371,1.2264676538467407
53,0.97046,0.0842276418954134,0.7396,1.2309898601531983
54,0.97104,0.08451501453995705,0.7442,1.231069245147705
55,0.97322,0.08018587935298681,0.7427,1.2721729326248168
56,0.97228,0.08084496277332306,0.739,1.2999948738098144
57,0.97424,0.07788059999525547,0.7394,1.2563193264007568
58,0.9722,0.08167329877614975,0.7443,1.27018523273468
